source_label,model_name,quantity_id,n_successful_runs,pooled_point_estimate,pooled_90_interval,reml_predictive_90_interval,bayes_predictive_90_interval,usage_total_tokens_per_successful_run,usage_estimated_total_cost_usd_per_successful_run,source_dir
gpt-5.4-mini-elasticities-batch15-v2,gpt-5.4-mini,labor_supply.frisch_elasticity.prime_age,15,0.6066666666666667,"[0.1282, 1.97]","[0.1834, 1.834]","[0.3086, 1.164]",256.6666666666667,0.0009195000000000001,results/gpt-5.4-mini-elasticities-batch15-v2
gpt-5.4-mini-elasticities-batch15-v2,gpt-5.4-mini,labor_supply.income_elasticity.prime_age,15,-0.06733333333333333,"[-0.2487, 0.09963]","[-0.195, 0.05902]","[-0.1381, 0.006529]",264.46666666666664,0.0009591,results/gpt-5.4-mini-elasticities-batch15-v2
gpt-5.4-mini-elasticities-batch15-v2,gpt-5.4-mini,labor_supply.marshallian_wage_elasticity.prime_age,15,0.19,"[-0.1265, 0.8186]","[-0.1518, 0.5453]","[-0.008718, 0.3863]",253.66666666666666,0.0009085,results/gpt-5.4-mini-elasticities-batch15-v2
gpt-5.4-mini-elasticities-batch15-v2,gpt-5.4-mini,production.capital_labor_substitution,15,0.8633333333333334,"[0.3995, 1.893]","[0.4562, 1.564]","[0.6032, 1.213]",252.66666666666666,0.0009034999999999999,results/gpt-5.4-mini-elasticities-batch15-v2
gpt-5.4-mini-elasticities-batch15-v2,gpt-5.4-mini,tax.elasticity_of_taxable_income.top_earners,15,0.41466666666666663,"[0.1025, 1.365]","[-0.007638, 0.9146]","[0.1576, 0.6793]",254.2,0.0009113999999999999,results/gpt-5.4-mini-elasticities-batch15-v2
gpt-5.4-mini-elasticities-batch15-v2,gpt-5.4-mini,trade.armington_elasticity.import_domestic,15,2.933333333333333,"[0.9832, 8.318]","[1.028, 6.935]","[1.588, 5.001]",230.33333333333334,0.0008100000000000001,results/gpt-5.4-mini-elasticities-batch15-v2
gpt-5.4-nano-elasticities-batch15-v2,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,15,0.8166666666666667,"[0.2447, 2.41]","[0.2736, 1.942]","[0.4421, 1.375]",300.06666666666666,0.0003094233333333334,results/gpt-5.4-nano-elasticities-batch15-v2
gpt-5.4-nano-elasticities-batch15-v2,gpt-5.4-nano,labor_supply.extensive_margin.single_mothers,15,0.2,"[-0.04782, 0.9677]","[-0.1214, 0.505]","[-0.02183, 0.3707]",290.8666666666667,0.0002990433333333334,results/gpt-5.4-nano-elasticities-batch15-v2
gpt-5.4-nano-elasticities-batch15-v2,gpt-5.4-nano,labor_supply.frisch_elasticity.prime_age,15,0.7266666666666667,"[0.1825, 1.939]","[0.2495, 1.89]","[0.3935, 1.271]",312.4,0.00032456,results/gpt-5.4-nano-elasticities-batch15-v2
gpt-5.4-nano-elasticities-batch15-v2,gpt-5.4-nano,labor_supply.income_elasticity.prime_age,15,-0.08600000000000001,"[-0.4499, 0.1868]","[-0.2631, 0.1316]","[-0.1997, 0.07303]",300.6,0.00031107,results/gpt-5.4-nano-elasticities-batch15-v2
gpt-5.4-nano-elasticities-batch15-v2,gpt-5.4-nano,labor_supply.marshallian_wage_elasticity.prime_age,15,0.15,"[-0.2027, 0.7007]","[-0.1655, 0.47]","[-0.03742, 0.3282]",287.93333333333334,0.00029467666666666665,results/gpt-5.4-nano-elasticities-batch15-v2
gpt-5.4-nano-elasticities-batch15-v2,gpt-5.4-nano,production.capital_labor_substitution,15,0.7666666666666667,"[0.3026, 1.583]","[0.4109, 1.442]","[0.5335, 1.134]",290.93333333333334,0.0002982866666666666,results/gpt-5.4-nano-elasticities-batch15-v2
gpt-5.4-nano-elasticities-batch15-v2,gpt-5.4-nano,tax.elasticity_of_taxable_income.top_earners,15,0.49333333333333335,"[0.06902, 1.483]","[0.0136, 1.008]","[0.1671, 0.7877]",296.0,0.00030490000000000004,results/gpt-5.4-nano-elasticities-batch15-v2
gpt-5.4-nano-elasticities-batch15-v2,gpt-5.4-nano,trade.armington_elasticity.import_domestic,15,2.066666666666667,"[0.712, 6.135]","[0.8113, 4.082]","[1.095, 3.169]",292.3333333333333,0.00030199666666666665,results/gpt-5.4-nano-elasticities-batch15-v2
